Date,High,Low
1/1/2019,56,34
1/2/2019,41,32
1/3/2019,36,31
1/4/2019,51,32
1/5/2019,48,28
1/6/2019,44,34
1/7/2019,57,33
1/8/2019,57,39
1/9/2019,40,24
1/10/2019,26,24
1/11/2019,31,25
1/12/2019,32,25
1/13/2019,33,25
1/14/2019,30,17
1/15/2019,29,19
1/16/2019,34,25
1/17/2019,35,22
1/18/2019,35,30
1/19/2019,30,23
1/20/2019,23,10
1/21/2019,14,5
1/22/2019,40,3
1/23/2019,48,37
1/24/2019,37,25
1/25/2019,25,12
1/26/2019,28,15
1/27/2019,33,6
1/28/2019,40,6
1/29/2019,34,8
1/30/2019,8,-3
1/31/2019,8,-2
2/1/2019,19,8
2/2/2019,43,12
2/3/2019,56,36
2/4/2019,61,42
2/5/2019,54,34
2/6/2019,55,34
2/7/2019,61,34
2/8/2019,43,18
2/9/2019,25,17
2/10/2019,32,16
2/11/2019,34,30
2/12/2019,50,32
2/13/2019,33,24
2/14/2019,48,24
2/15/2019,47,25
2/16/2019,28,24
2/17/2019,33,25
2/18/2019,29,19
2/19/2019,34,10
2/20/2019,45,27
2/21/2019,43,35
2/22/2019,39,29
2/23/2019,47,31
2/24/2019,57,28
2/25/2019,30,21
2/26/2019,27,20
2/27/2019,40,22
2/28/2019,30,18
3/1/2019,34,20
3/2/2019,38,21
3/3/2019,32,22
3/4/2019,22,10
3/5/2019,19,8
3/6/2019,22,11
3/7/2019,28,20
3/8/2019,39,16
3/9/2019,49,20
3/10/2019,51,37
3/11/2019,41,32
3/12/2019,43,26
3/13/2019,60,30
3/14/2019,74,52
3/15/2019,52,36
3/16/2019,38,33
3/17/2019,40,28
3/18/2019,42,26
3/19/2019,47,26
3/20/2019,53,29
3/21/2019,47,38
3/22/2019,41,31
3/23/2019,46,29
3/24/2019,58,29
3/25/2019,46,31
3/26/2019,39,30
3/27/2019,54,22
3/28/2019,65,44
3/29/2019,56,40
3/30/2019,58,33
3/31/2019,34,27
4/1/2019,41,26
4/2/2019,51,32
4/3/2019,55,39
4/4/2019,48,38
4/5/2019,60,45
4/6/2019,67,49
4/7/2019,75,48
4/8/2019,71,56
4/9/2019,62,47
4/10/2019,47,40
4/11/2019,65,40
4/12/2019,72,55
4/13/2019,66,47
4/14/2019,71,40
4/15/2019,52,35
4/16/2019,70,38
4/17/2019,68,45
4/18/2019,78,59
4/19/2019,59,41
4/20/2019,54,42
4/21/2019,57,44
4/22/2019,72,43
4/23/2019,73,49
4/24/2019,55,40
4/25/2019,67,48
4/26/2019,62,49
4/27/2019,53,43
4/28/2019,52,41
4/29/2019,56,39
4/30/2019,53,43
5/1/2019,83,46
5/2/2019,70,51
5/3/2019,66,46
5/4/2019,52,45
5/5/2019,62,48
5/6/2019,76,47
5/7/2019,65,47
5/8/2019,65,47
5/9/2019,78,63
5/10/2019,66,44
5/11/2019,55,41
5/12/2019,54,46
5/13/2019,50,45
5/14/2019,64,44
5/15/2019,73,46
5/16/2019,77,51
5/17/2019,68,55
5/18/2019,85,52
5/19/2019,86,62
5/20/2019,68,48
5/21/2019,60,45
5/22/2019,79,53
5/23/2019,84,65
5/24/2019,73,52
5/25/2019,92,63
5/26/2019,77,57
5/27/2019,71,52
5/28/2019,86,64
5/29/2019,76,57
5/30/2019,76,61
5/31/2019,79,57
