Date,High,Low
6/1/2019,84,62
6/2/2019,68,57
6/3/2019,62,50
6/4/2019,75,50
6/5/2019,77,63
6/6/2019,70,58
6/7/2019,74,55
6/8/2019,83,64
6/9/2019,83,70
6/10/2019,75,56
6/11/2019,75,50
6/12/2019,77,55
6/13/2019,70,56
6/14/2019,74,50
6/15/2019,70,64
6/16/2019,74,60
6/17/2019,71,62
6/18/2019,76,63
6/19/2019,79,60
6/20/2019,71,61
6/21/2019,76,59
6/22/2019,75,55
6/23/2019,82,53
6/24/2019,85,70
6/25/2019,85,66
6/26/2019,89,70
6/27/2019,88,69
6/28/2019,90,68
6/29/2019,89,71
6/30/2019,80,66
7/1/2019,88,59
7/2/2019,91,71
7/3/2019,85,71
7/4/2019,88,73
7/5/2019,92,74
7/6/2019,90,73
7/7/2019,82,72
7/8/2019,79,66
7/9/2019,83,58
7/10/2019,93,70
7/11/2019,89,71
7/12/2019,79,65
7/13/2019,92,63
7/14/2019,82,65
7/15/2019,92,61
7/16/2019,89,73
7/17/2019,84,72
7/18/2019,90,69
7/19/2019,94,78
7/20/2019,95,77
7/21/2019,88,70
7/22/2019,77,66
7/23/2019,77,65
7/24/2019,76,62
7/25/2019,82,60
7/26/2019,84,62
7/27/2019,87,65
7/28/2019,89,73
7/29/2019,90,72
7/30/2019,85,71
7/31/2019,81,66
8/1/2019,82,62
8/2/2019,82,62
8/3/2019,84,61
8/4/2019,88,62
8/5/2019,87,65
8/6/2019,88,69
8/7/2019,82,67
8/8/2019,83,67
8/9/2019,80,62
8/10/2019,79,61
8/11/2019,83,59
8/12/2019,82,65
8/13/2019,78,70
8/14/2019,81,65
8/15/2019,83,65
8/16/2019,82,69
8/17/2019,87,69
8/18/2019,91,68
8/19/2019,84,66
8/20/2019,90,68
8/21/2019,86,72
8/22/2019,76,65
8/23/2019,75,62
8/24/2019,74,62
8/25/2019,79,58
8/26/2019,80,62
8/27/2019,75,67
8/28/2019,80,62
8/29/2019,81,57
8/30/2019,80,62
8/31/2019,76,58
9/1/2019,79,63
9/2/2019,81,66
9/3/2019,83,61
9/4/2019,77,58
9/5/2019,74,52
9/6/2019,76,50
9/7/2019,76,60
9/8/2019,75,61
9/9/2019,78,61
9/10/2019,91,60
9/11/2019,94,71
9/12/2019,78,66
9/13/2019,92,66
9/14/2019,78,62
9/15/2019,77,59
9/16/2019,81,65
9/17/2019,77,63
9/18/2019,81,59
9/19/2019,82,59
9/20/2019,87,61
9/21/2019,90,66
9/22/2019,91,72
9/23/2019,80,66
9/24/2019,79,54
9/25/2019,83,57
9/26/2019,75,51
9/27/2019,85,48
9/28/2019,84,66
9/29/2019,72,65
9/30/2019,85,66
10/1/2019,93,70
10/2/2019,84,64
10/3/2019,84,62
10/4/2019,63,51
10/5/2019,70,44
10/6/2019,75,59
10/7/2019,65,50
10/8/2019,72,43
10/9/2019,73,47
10/10/2019,77,46
10/11/2019,82,60
10/12/2019,66,43
10/13/2019,68,43
10/14/2019,58,42
10/15/2019,71,36
10/16/2019,65,47
10/17/2019,53,47
10/18/2019,57,41
10/19/2019,66,37
10/20/2019,72,46
10/21/2019,75,50
10/22/2019,67,50
10/23/2019,62,45
10/24/2019,65,49
10/25/2019,57,43
10/26/2019,58,42
10/27/2019,63,43
10/28/2019,68,39
10/29/2019,63,42
10/30/2019,64,52
10/31/2019,65,36
11/1/2019,41,31
11/2/2019,47,33
11/3/2019,48,34
11/4/2019,59,43
11/5/2019,53,34
11/6/2019,50,30
11/7/2019,48,33
11/8/2019,38,24
11/9/2019,40,24
11/10/2019,54,38
11/11/2019,45,33
11/12/2019,33,22
11/13/2019,28,13
11/14/2019,37,27
11/15/2019,38,29
11/16/2019,40,30
11/17/2019,49,27
11/18/2019,53,33
11/19/2019,43,30
11/20/2019,45,37
11/21/2019,54,35
11/22/2019,53,27
11/23/2019,46,23
11/24/2019,45,30
11/25/2019,56,40
11/26/2019,61,44
11/27/2019,60,39
11/28/2019,41,36
11/29/2019,38,36
11/30/2019,43,35
12/1/2019,57,36
12/2/2019,39,34
12/3/2019,35,31
12/4/2019,37,34
12/5/2019,41,33
12/6/2019,47,34
12/7/2019,40,31
12/8/2019,51,30
12/9/2019,54,48
12/10/2019,52,23
12/11/2019,29,19
12/12/2019,38,17
12/13/2019,46,33
12/14/2019,40,36
12/15/2019,37,29
12/16/2019,38,29
12/17/2019,36,23
12/18/2019,27,19
12/19/2019,30,13
12/20/2019,37,16
12/21/2019,49,26
12/22/2019,53,33
12/23/2019,58,36
12/24/2019,39,33
12/25/2019,58,32
12/26/2019,66,43
12/27/2019,61,40
12/28/2019,48,36
12/29/2019,59,41
12/30/2019,61,38
12/31/2019,39,29
