"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/30/2018","AQS","390350034","1","0.039","ppm","36","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/31/2018","AQS","390350034","1","0.044","ppm","41","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/01/2018","AQS","390350034","1","0.047","ppm","44","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/02/2018","AQS","390350034","1","0.044","ppm","41","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/03/2018","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/04/2018","AQS","390350034","1","0.045","ppm","42","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/05/2018","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/06/2018","AQS","390350034","1","0.047","ppm","44","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/07/2018","AQS","390350034","1","0.046","ppm","43","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/08/2018","AQS","390350034","1","0.048","ppm","44","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/09/2018","AQS","390350034","1","0.045","ppm","42","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/10/2018","AQS","390350034","1","0.05","ppm","46","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/11/2018","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/12/2018","AQS","390350034","1","0.055","ppm","51","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/13/2018","AQS","390350034","1","0.037","ppm","34","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/14/2018","AQS","390350034","1","0.035","ppm","32","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/15/2018","AQS","390350034","1","0.025","ppm","23","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/16/2018","AQS","390350034","1","0.034","ppm","31","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
