Date,High,Low
1/1/2018,12,0
1/2/2018,14,5
1/3/2018,21,4
1/4/2018,19,4
1/5/2018,10,-2
1/6/2018,12,-1
1/7/2018,31,-5
1/8/2018,37,31
1/9/2018,35,25
1/10/2018,54,25
1/11/2018,62,53
1/12/2018,60,20
1/13/2018,20,16
1/14/2018,19,10
1/15/2018,28,9
1/16/2018,26,3
1/17/2018,20,2
1/18/2018,31,14
1/19/2018,39,23
1/20/2018,43,36
1/21/2018,48,37
1/22/2018,62,47
1/23/2018,56,31
1/24/2018,31,26
1/25/2018,35,25
1/26/2018,54,31
1/27/2018,51,37
1/28/2018,49,27
1/29/2018,39,21
1/30/2018,22,16
1/31/2018,43,16
2/1/2018,44,18
2/2/2018,19,14
2/3/2018,35,14
2/4/2018,38,19
2/5/2018,22,12
2/6/2018,26,20
2/7/2018,23,18
2/8/2018,21,11
2/9/2018,42,13
2/10/2018,34,26
2/11/2018,41,27
2/12/2018,29,18
2/13/2018,38,16
2/14/2018,48,35
2/15/2018,61,48
2/16/2018,48,30
2/17/2018,34,29
2/18/2018,44,32
2/19/2018,65,35
2/20/2018,73,63
2/21/2018,69,33
2/22/2018,42,32
2/23/2018,62,37
2/24/2018,48,37
2/25/2018,60,37
2/26/2018,52,32
2/27/2018,59,36
2/28/2018,57,40
3/1/2018,49,33
3/2/2018,36,30
3/3/2018,35,29
3/4/2018,37,27
3/5/2018,37,24
3/6/2018,50,32
3/7/2018,39,29
3/8/2018,32,21
3/9/2018,32,26
3/10/2018,36,18
3/11/2018,35,19
3/12/2018,35,21
3/13/2018,36,28
3/14/2018,37,26
3/15/2018,38,28
3/16/2018,34,23
3/17/2018,43,22
3/18/2018,56,21
3/19/2018,42,30
3/20/2018,41,29
3/21/2018,36,29
3/22/2018,40,26
3/23/2018,40,24
3/24/2018,40,24
3/25/2018,40,26
3/26/2018,57,32
3/27/2018,53,40
3/28/2018,53,40
3/29/2018,51,38
3/30/2018,39,27
3/31/2018,54,26
4/1/2018,43,32
4/2/2018,44,29
4/3/2018,61,39
4/4/2018,61,31
4/5/2018,43,28
4/6/2018,47,31
4/7/2018,38,27
4/8/2018,37,29
4/9/2018,36,25
4/10/2018,45,24
4/11/2018,59,33
4/12/2018,78,45
4/13/2018,81,43
4/14/2018,51,36
4/15/2018,61,36
4/16/2018,44,33
4/17/2018,36,32
4/18/2018,46,33
4/19/2018,47,32
4/20/2018,50,28
4/21/2018,52,28
4/22/2018,58,35
4/23/2018,77,48
4/24/2018,59,53
4/25/2018,53,38
4/26/2018,57,34
4/27/2018,69,41
4/28/2018,44,35
4/29/2018,52,30
4/30/2018,69,34
5/1/2018,82,53
5/2/2018,84,63
5/3/2018,77,64
5/4/2018,83,56
5/5/2018,75,49
5/6/2018,76,53
5/7/2018,62,47
5/8/2018,71,43
5/9/2018,83,52
5/10/2018,75,53
5/11/2018,57,46
5/12/2018,59,48
5/13/2018,66,47
5/14/2018,78,52
5/15/2018,77,58
5/16/2018,72,55
5/17/2018,76,54
5/18/2018,77,56
5/19/2018,81,64
5/20/2018,68,56
5/21/2018,71,52
5/22/2018,79,59
5/23/2018,76,54
5/24/2018,80,52
5/25/2018,85,54
5/26/2018,83,62
5/27/2018,87,66
5/28/2018,93,70
5/29/2018,91,68
5/30/2018,86,73
5/31/2018,87,73
6/1/2018,80,63
6/2/2018,71,60
6/3/2018,81,56
6/4/2018,72,59
6/5/2018,68,54
6/6/2018,66,52
6/7/2018,80,54
6/8/2018,83,62
6/9/2018,79,66
6/10/2018,73,65
6/11/2018,72,62
6/12/2018,78,60
6/13/2018,86,67
6/14/2018,82,56
6/15/2018,79,57
6/16/2018,86,65
6/17/2018,94,65
6/18/2018,94,75
6/19/2018,78,69
6/20/2018,74,65
6/21/2018,79,59
6/22/2018,74,67
6/23/2018,81,67
6/24/2018,80,66
6/25/2018,75,61
6/26/2018,84,57
6/27/2018,81,68
