Date,High,Low
6/28/2018,81,69
6/29/2018,90,65
6/30/2018,92,74
7/1/2018,94,70
7/2/2018,92,76
7/3/2018,89,73
7/4/2018,92,73
7/5/2018,89,73
7/6/2018,76,66
7/7/2018,78,62
7/8/2018,83,58
7/9/2018,89,61
7/10/2018,87,68
7/11/2018,80,66
7/12/2018,84,59
7/13/2018,88,61
7/14/2018,92,68
7/15/2018,91,76
7/16/2018,91,73
7/17/2018,83,71
7/18/2018,77,61
7/19/2018,85,58
7/20/2018,84,68
7/21/2018,81,67
7/22/2018,73,67
7/23/2018,84,68
7/24/2018,82,68
7/25/2018,83,70
7/26/2018,86,66
7/27/2018,80,62
7/28/2018,78,61
7/29/2018,82,63
7/30/2018,80,67
7/31/2018,80,68
8/1/2018,76,70
8/2/2018,83,68
8/3/2018,87,67
8/4/2018,88,66
8/5/2018,92,70
8/6/2018,93,70
8/7/2018,83,70
8/8/2018,84,72
8/9/2018,85,68
8/10/2018,83,70
8/11/2018,81,62
8/12/2018,81,64
8/13/2018,82,64
8/14/2018,86,67
8/15/2018,87,68
8/16/2018,83,73
8/17/2018,80,70
8/18/2018,81,69
8/19/2018,79,64
8/20/2018,85,61
8/21/2018,83,70
8/22/2018,73,58
8/23/2018,80,56
8/24/2018,82,58
8/25/2018,81,71
8/26/2018,87,71
8/27/2018,91,75
8/28/2018,92,75
8/29/2018,92,70
8/30/2018,77,67
8/31/2018,81,61
9/1/2018,88,68
9/2/2018,90,73
9/3/2018,93,74
9/4/2018,94,72
9/5/2018,95,74
9/6/2018,81,73
9/7/2018,80,70
9/8/2018,70,60
9/9/2018,63,57
9/10/2018,69,58
9/11/2018,69,62
9/12/2018,76,65
9/13/2018,82,62
9/14/2018,84,69
9/15/2018,86,69
9/16/2018,86,68
9/17/2018,78,68
9/18/2018,86,66
9/19/2018,76,62
9/20/2018,87,60
9/21/2018,91,67
9/22/2018,67,54
9/23/2018,71,49
9/24/2018,72,57
9/25/2018,76,66
9/26/2018,75,54
9/27/2018,67,51
9/28/2018,74,49
9/29/2018,63,49
9/30/2018,77,50
10/1/2018,81,58
10/2/2018,78,63
10/3/2018,83,57
10/4/2018,77,54
10/5/2018,64,50
10/6/2018,85,64
10/7/2018,70,66
10/8/2018,89,67
10/9/2018,86,70
10/10/2018,84,68
10/11/2018,73,52
10/12/2018,54,44
10/13/2018,52,41
10/14/2018,61,41
10/15/2018,57,44
10/16/2018,56,36
10/17/2018,56,43
10/18/2018,50,39
10/19/2018,60,40
10/20/2018,60,41
10/21/2018,44,32
10/22/2018,57,36
10/23/2018,55,43
10/24/2018,49,41
10/25/2018,50,33
10/26/2018,52,42
10/27/2018,48,44
10/28/2018,50,41
10/29/2018,51,39
10/30/2018,59,36
10/31/2018,62,52
11/1/2018,52,46
11/2/2018,50,44
11/3/2018,49,36
11/4/2018,58,35
11/5/2018,61,48
11/6/2018,61,48
11/7/2018,49,39
11/8/2018,43,37
11/9/2018,40,34
11/10/2018,34,23
11/11/2018,42,26
11/12/2018,41,25
11/13/2018,39,31
11/14/2018,32,27
11/15/2018,36,29
11/16/2018,38,34
11/17/2018,41,37
11/18/2018,39,35
11/19/2018,40,36
11/20/2018,37,29
11/21/2018,35,28
11/22/2018,28,26
11/23/2018,51,28
11/24/2018,50,41
11/25/2018,50,40
11/26/2018,49,32
11/27/2018,32,28
11/28/2018,29,26
11/29/2018,33,25
11/30/2018,38,33
12/1/2018,52,37
12/2/2018,64,44
12/3/2018,44,35
12/4/2018,35,30
12/5/2018,33,29
12/6/2018,35,28
12/7/2018,33,23
12/8/2018,29,18
12/9/2018,37,17
12/10/2018,33,20
12/11/2018,37,21
12/12/2018,42,28
12/13/2018,45,35
12/14/2018,56,41
12/15/2018,44,40
12/16/2018,48,36
12/17/2018,39,33
12/18/2018,39,26
12/19/2018,46,27
12/20/2018,51,36
12/21/2018,41,38
12/22/2018,38,32
12/23/2018,40,30
12/24/2018,35,31
12/25/2018,35,29
12/26/2018,48,31
12/27/2018,52,32
12/28/2018,58,36
12/29/2018,36,33
12/30/2018,42,32
12/31/2018,62,34
