"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2019","AQS","390350034","1","6.4","ug/m3 LC","27","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/06/2019","AQS","390350034","1","3","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/09/2019","AQS","390350034","1","3.2","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/12/2019","AQS","390350034","1","5.9","ug/m3 LC","25","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/15/2019","AQS","390350034","1","20.3","ug/m3 LC","68","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/18/2019","AQS","390350034","1","16.4","ug/m3 LC","60","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/21/2019","AQS","390350034","1","3.7","ug/m3 LC","15","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/24/2019","AQS","390350034","1","5.7","ug/m3 LC","24","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/27/2019","AQS","390350034","1","9.4","ug/m3 LC","39","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/01/2019","AQS","390350034","1","10.6","ug/m3 LC","44","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/02/2019","AQS","390350034","1","18.1","ug/m3 LC","64","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/05/2019","AQS","390350034","1","5.3","ug/m3 LC","22","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/08/2019","AQS","390350034","1","3.8","ug/m3 LC","16","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/11/2019","AQS","390350034","1","16.4","ug/m3 LC","60","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/14/2019","AQS","390350034","1","5.2","ug/m3 LC","22","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/17/2019","AQS","390350034","1","4.6","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/20/2019","AQS","390350034","1","5.4","ug/m3 LC","23","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/23/2019","AQS","390350034","1","11.6","ug/m3 LC","48","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/26/2019","AQS","390350034","1","4.3","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/01/2019","AQS","390350034","1","10.3","ug/m3 LC","43","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
