,high_temp,low_temp,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,pct_change_aqi,average_daily_temp,month,weekday
2017-02-27,50,36,0.3,3.0,18.0,17.0,0.036,33.0,14.0,13.0,4.3,18.0,1.0,1.0,33.0,0.0,43.0,2,0
2017-02-28,61,39,0.6,7.0,25.0,24.0,0.029,27.0,29.0,27.0,13.1,53.0,6.0,9.0,53.0,0.606060606060606,50.0,2,1
2017-03-01,65,35,0.4,5.0,29.0,27.0,0.037,34.0,11.0,10.0,,,1.0,1.0,34.0,-0.3584905660377359,50.0,3,2
2017-03-02,35,27,0.2,2.0,9.0,8.0,0.038,35.0,12.0,11.0,2.8,12.0,0.0,0.0,35.0,0.02941176470588225,31.0,3,3
2017-03-03,28,24,0.2,2.0,14.0,13.0,0.038,35.0,14.0,13.0,2.7,11.0,0.0,0.0,35.0,0.0,26.0,3,4
2017-03-04,29,21,0.2,2.0,12.0,11.0,0.04,37.0,10.0,9.0,1.4,6.0,0.0,0.0,37.0,0.05714285714285716,25.0,3,5
2017-03-05,48,20,0.4,5.0,14.0,13.0,0.035,32.0,14.0,13.0,,,3.0,4.0,32.0,-0.1351351351351351,34.0,3,6
2017-03-06,59,45,,,43.0,41.0,0.037,34.0,46.0,43.0,,,12.0,17.0,43.0,0.34375,52.0,3,0
2017-03-07,61,44,0.4,5.0,11.0,10.0,0.037,34.0,14.0,13.0,8.2,34.0,1.0,1.0,34.0,-0.2093023255813954,52.5,3,1
2017-03-09,49,34,,,,,0.035,32.0,,,,,,,32.0,-0.05882352941176472,41.5,3,3
2017-03-10,36,22,0.2,2.0,10.0,9.0,0.038,35.0,,,4.2,18.0,1.0,1.0,35.0,0.09375,29.0,3,4
2017-03-11,28,19,0.2,2.0,17.0,16.0,0.04,37.0,,,2.8,12.0,1.0,1.0,37.0,0.05714285714285716,23.5,3,5
2017-03-12,29,22,0.2,2.0,18.0,17.0,0.04,37.0,,,0.7,3.0,1.0,1.0,37.0,0.0,25.5,3,6
2017-03-13,33,23,0.3,3.0,16.0,15.0,0.032,30.0,,,2.7,11.0,0.0,0.0,30.0,-0.18918918918918914,28.0,3,0
2017-03-14,27,19,0.2,2.0,8.0,8.0,0.038,35.0,,,1.6,7.0,0.0,0.0,35.0,0.16666666666666674,23.0,3,1
2017-03-15,31,20,0.2,2.0,9.0,8.0,0.043,40.0,,,1.9,8.0,0.0,0.0,40.0,0.1428571428571428,25.5,3,2
