"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2017","AQS","390350034","1","4.5","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/04/2017","AQS","390350034","1","3.3","ug/m3 LC","14","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/07/2017","AQS","390350034","1","2","ug/m3 LC","8","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/10/2017","AQS","390350034","1","8.5","ug/m3 LC","35","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/13/2017","AQS","390350034","1","4.9","ug/m3 LC","20","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/16/2017","AQS","390350034","1","7.5","ug/m3 LC","31","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/19/2017","AQS","390350034","1","7.9","ug/m3 LC","33","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/22/2017","AQS","390350034","1","2.7","ug/m3 LC","11","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/25/2017","AQS","390350034","1","3.1","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/28/2017","AQS","390350034","1","4.4","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/01/2017","AQS","390350034","1","5.9","ug/m3 LC","25","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/04/2017","AQS","390350034","1","5.6","ug/m3 LC","23","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/07/2017","AQS","390350034","1","2.8","ug/m3 LC","12","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/10/2017","AQS","390350034","1","4","ug/m3 LC","17","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/13/2017","AQS","390350034","1","7.3","ug/m3 LC","30","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/16/2017","AQS","390350034","1","8.9","ug/m3 LC","37","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/19/2017","AQS","390350034","1","12","ug/m3 LC","50","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/22/2017","AQS","390350034","1","4.2","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/25/2017","AQS","390350034","1","3.2","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/28/2017","AQS","390350034","1","8.9","ug/m3 LC","37","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"05/31/2017","AQS","390350034","1","4.4","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/03/2017","AQS","390350034","1","7.2","ug/m3 LC","30","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/06/2017","AQS","390350034","1","2.9","ug/m3 LC","12","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/09/2017","AQS","390350034","1","7.6","ug/m3 LC","32","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/12/2017","AQS","390350034","1","13.1","ug/m3 LC","53","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/15/2017","AQS","390350034","1","7.5","ug/m3 LC","31","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/18/2017","AQS","390350034","1","8","ug/m3 LC","33","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/21/2017","AQS","390350034","1","4.5","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/24/2017","AQS","390350034","1","4.4","ug/m3 LC","18","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/27/2017","AQS","390350034","1","3.7","ug/m3 LC","15","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"06/30/2017","AQS","390350034","1","5.2","ug/m3 LC","22","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/03/2017","AQS","390350034","1","7.4","ug/m3 LC","31","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/06/2017","AQS","390350034","1","13.1","ug/m3 LC","53","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/09/2017","AQS","390350034","1","5.8","ug/m3 LC","24","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/12/2017","AQS","390350034","1","10","ug/m3 LC","42","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/15/2017","AQS","390350034","1","5.7","ug/m3 LC","24","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"07/18/2017","AQS","390350034","1","9.4","ug/m3 LC","39","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
