"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2019","AQS","390350038","1","26","ug/m3 SC","24","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/10/2019","AQS","390350038","1","6","ug/m3 SC","6","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/15/2019","AQS","390350038","1","26","ug/m3 SC","24","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/20/2019","AQS","390350038","1","6","ug/m3 SC","6","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"01/30/2019","AQS","390350038","1","27","ug/m3 SC","25","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"02/04/2019","AQS","390350038","1","36","ug/m3 SC","33","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"02/09/2019","AQS","390350038","1","10","ug/m3 SC","9","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"02/14/2019","AQS","390350038","1","41","ug/m3 SC","38","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"02/19/2019","AQS","390350038","1","25","ug/m3 SC","23","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"02/24/2019","AQS","390350038","1","16","ug/m3 SC","15","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/01/2019","AQS","390350038","1","14","ug/m3 SC","13","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/06/2019","AQS","390350038","1","24","ug/m3 SC","22","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/11/2019","AQS","390350038","1","10","ug/m3 SC","9","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/16/2019","AQS","390350038","1","8","ug/m3 SC","7","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/21/2019","AQS","390350038","1","21","ug/m3 SC","19","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/26/2019","AQS","390350038","1","9","ug/m3 SC","8","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/31/2019","AQS","390350038","1","4","ug/m3 SC","4","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/05/2019","AQS","390350038","1","30","ug/m3 SC","28","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/11/2019","AQS","390350038","1","26","ug/m3 SC","24","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/16/2019","AQS","390350038","1","24","ug/m3 SC","22","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/21/2019","AQS","390350038","1","11","ug/m3 SC","10","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/26/2019","AQS","390350038","1","10","ug/m3 SC","9","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/01/2019","AQS","390350038","1","29","ug/m3 SC","27","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/06/2019","AQS","390350038","1","33","ug/m3 SC","31","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/10/2019","AQS","390350038","1","9","ug/m3 SC","8","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/15/2019","AQS","390350038","1","19","ug/m3 SC","18","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/20/2019","AQS","390350038","1","13","ug/m3 SC","12","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/25/2019","AQS","390350038","1","33","ug/m3 SC","31","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/30/2019","AQS","390350038","1","23","ug/m3 SC","21","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/04/2019","AQS","390350038","1","43","ug/m3 SC","40","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/09/2019","AQS","390350038","1","24","ug/m3 SC","22","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/14/2019","AQS","390350038","1","12","ug/m3 SC","11","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/19/2019","AQS","390350038","1","27","ug/m3 SC","25","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/24/2019","AQS","390350038","1","29","ug/m3 SC","27","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/29/2019","AQS","390350038","1","20","ug/m3 SC","19","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/04/2019","AQS","390350038","1","26","ug/m3 SC","24","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/09/2019","AQS","390350038","1","21","ug/m3 SC","19","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/14/2019","AQS","390350038","1","12","ug/m3 SC","11","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/19/2019","AQS","390350038","1","34","ug/m3 SC","31","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/24/2019","AQS","390350038","1","19","ug/m3 SC","18","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/29/2019","AQS","390350038","1","26","ug/m3 SC","24","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/03/2019","AQS","390350038","1","23","ug/m3 SC","21","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/08/2019","AQS","390350038","1","14","ug/m3 SC","13","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/13/2019","AQS","390350038","1","23","ug/m3 SC","21","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/18/2019","AQS","390350038","1","22","ug/m3 SC","20","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/23/2019","AQS","390350038","1","9","ug/m3 SC","8","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/28/2019","AQS","390350038","1","16","ug/m3 SC","15","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/02/2019","AQS","390350038","1","14","ug/m3 SC","13","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/07/2019","AQS","390350038","1","16","ug/m3 SC","15","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/12/2019","AQS","390350038","1","10","ug/m3 SC","9","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/17/2019","AQS","390350038","1","50","ug/m3 SC","46","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/22/2019","AQS","390350038","1","24","ug/m3 SC","22","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"09/27/2019","AQS","390350038","1","43","ug/m3 SC","40","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/02/2019","AQS","390350038","1","15","ug/m3 SC","14","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/07/2019","AQS","390350038","1","16","ug/m3 SC","15","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/12/2019","AQS","390350038","1","7","ug/m3 SC","6","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/17/2019","AQS","390350038","1","5","ug/m3 SC","5","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/22/2019","AQS","390350038","1","16","ug/m3 SC","15","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"10/27/2019","AQS","390350038","1","10","ug/m3 SC","9","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/01/2019","AQS","390350038","1","15","ug/m3 SC","14","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/06/2019","AQS","390350038","1","18","ug/m3 SC","17","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/11/2019","AQS","390350038","1","7","ug/m3 SC","6","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/16/2019","AQS","390350038","1","6","ug/m3 SC","6","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/21/2019","AQS","390350038","1","43","ug/m3 SC","40","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"11/26/2019","AQS","390350038","1","28","ug/m3 SC","26","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/01/2019","AQS","390350038","1","11","ug/m3 SC","10","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/06/2019","AQS","390350038","1","14","ug/m3 SC","13","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/11/2019","AQS","390350038","1","32","ug/m3 SC","30","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/16/2019","AQS","390350038","1","37","ug/m3 SC","34","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"12/21/2019","AQS","390350038","1","29","ug/m3 SC","27","St Theodosius","1","100.0000","81102","PM10 Total 0-10um STP","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
