Date,High,Low
10/18/2017,70,47
10/19/2017,74,49
10/20/2017,75,44
10/21/2017,76,47
10/22/2017,79,52
10/23/2017,68,58
10/24/2017,58,46
10/25/2017,53,44
10/26/2017,56,39
10/27/2017,69,44
10/28/2017,44,37
10/29/2017,46,35
10/30/2017,45,36
10/31/2017,45,33
11/1/2017,53,35
11/2/2017,67,53
11/3/2017,67,43
11/4/2017,62,39
11/5/2017,68,58
11/6/2017,61,43
11/7/2017,49,41
11/8/2017,51,32
11/9/2017,53,29
11/10/2017,35,23
11/11/2017,38,20
11/12/2017,47,27
11/13/2017,44,39
11/14/2017,50,33
11/15/2017,49,32
11/16/2017,49,39
11/17/2017,47,38
11/18/2017,57,37
11/19/2017,41,32
11/20/2017,47,29
11/21/2017,56,37
11/22/2017,39,30
11/23/2017,40,26
11/24/2017,54,33
11/25/2017,53,41
11/26/2017,43,32
11/27/2017,54,35
11/28/2017,66,47
11/29/2017,59,34
11/30/2017,55,34
12/1/2017,48,29
12/2/2017,50,27
12/3/2017,55,30
12/4/2017,59,32
12/5/2017,57,32
12/6/2017,42,28
12/7/2017,35,25
12/8/2017,33,20
12/9/2017,34,20
12/10/2017,31,25
12/11/2017,35,29
12/12/2017,35,18
12/13/2017,25,17
12/14/2017,28,10
12/15/2017,28,6
12/16/2017,41,27
12/17/2017,39,23
12/18/2017,45,38
12/19/2017,52,37
12/20/2017,40,26
12/21/2017,39,30
12/22/2017,43,37
12/23/2017,39,29
12/24/2017,33,27
12/25/2017,28,13
12/26/2017,15,9
12/27/2017,13,4
12/28/2017,18,7
12/29/2017,19,14
12/30/2017,18,14
12/31/2017,19,3
