"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/25/2017","AQS","390350038","1","0.003","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"05/31/2017","AQS","390350038","1","0.011","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/06/2017","AQS","390350038","1","0.004","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/12/2017","AQS","390350038","1","0.007","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/18/2017","AQS","390350038","1","0.008","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/24/2017","AQS","390350038","1","0.004","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"06/30/2017","AQS","390350038","1","0.009","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/06/2017","AQS","390350038","1","0.026","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/12/2017","AQS","390350038","1","0.005","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/18/2017","AQS","390350038","1","0.017","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/24/2017","AQS","390350038","1","0.005","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"07/30/2017","AQS","390350038","1","0.006","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/05/2017","AQS","390350038","1","0.004","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/11/2017","AQS","390350038","1","0.013","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/17/2017","AQS","390350038","1","0.021","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/23/2017","AQS","390350038","1","0.006","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"08/29/2017","AQS","390350038","1","0.009","ug/m3 LC",".","St Theodosius","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
